EUR1m;VL1;EUR3m;VL2;EUR6m;VL3;EUR1Y;VL4;EUR Std;VL5;EUR1mTipos;VL6;EUR3mTipos;VL7;EUR6mTipos;VL8;EUR1YTipos;VL9;EUR StdTipos;VL10
31/03/2021;1,000000;31/03/2021;1,0000000;31/03/2021;1,0000000;31/03/2021;1,0000000;31/03/2021;1,0000000;01/04/2021;-0,5611320;01/04/2021;-0,5611320;01/04/2021;-0,5611320;01/04/2021;-0,5611320;01/04/2021;-0,4905320
01/04/2021;1,000015;01/04/2021;1,0000154;01/04/2021;1,0000154;01/04/2021;1,0000154;01/04/2021;1,0000135;02/04/2021;-0,5149240;02/04/2021;-0,5149240;02/04/2021;-0,5149240;02/04/2021;-0,5149240;02/04/2021;-0,4897000
02/04/2021;1,000085;02/04/2021;1,0000849;02/04/2021;1,0000849;02/04/2021;1,0000849;02/04/2021;1,0000807;09/04/2021;-0,5166250;09/04/2021;-0,5032570;09/04/2021;-0,4993290;03/05/2021;-0,4901930;09/04/2021;-0,4890720
09/04/2021;1,000184;09/04/2021;1,0001797;09/04/2021;1,0001783;09/04/2021;1,0001778;09/04/2021;1,0001746;03/05/2021;-0,5543770;03/05/2021;-0,5148240;03/05/2021;-0,4969060;02/06/2021;-0,4899230;03/05/2021;-0,4896320
03/05/2021;1,000548;03/05/2021;1,0005092;03/05/2021;1,0004914;03/05/2021;1,0004848;03/05/2021;1,0004842;02/06/2021;-0,5582160;02/06/2021;-0,5335010;02/06/2021;-0,5028660;02/07/2021;-0,4908200;02/06/2021;-0,4897570
02/06/2021;1,001043;02/06/2021;1,0009971;02/06/2021;1,0009397;02/06/2021;1,0009154;02/06/2021;1,0009151;02/07/2021;-0,5600600;02/07/2021;-0,5425360;02/07/2021;-0,5079450;04/10/2021;-0,4934230;02/07/2021;-0,4917070
02/07/2021;1,001494;02/07/2021;1,0014468;02/07/2021;1,0013542;02/07/2021;1,0013084;02/07/2021;1,0013108;04/10/2021;-0,5663010;04/10/2021;-0,5435550;04/10/2021;-0,5144110;03/01/2022;-0,4936470;04/10/2021;-0,4950050
04/10/2021;1,002945;04/10/2021;1,0028262;04/10/2021;1,0026741;04/10/2021;1,0025646;04/10/2021;1,0025728;03/01/2022;-0,5637830;03/01/2022;-0,5462770;03/01/2022;-0,5134940;04/04/2022;-0,4911140;03/01/2022;-0,4983380
03/01/2022;1,004362;03/01/2022;1,0042260;03/01/2022;1,0039713;03/01/2022;1,0038171;03/01/2022;1,0038535;04/04/2022;-0,5654270;04/04/2022;-0,5473990;04/04/2022;-0,5153930;04/07/2022;-0,4858510;04/04/2022;-0,4996830
04/04/2022;1,005780;04/04/2022;1,0055949;04/04/2022;1,0052660;04/04/2022;1,0050167;04/04/2022;1,0051047;04/07/2022;-0,5638540;04/07/2022;-0,5454850;04/07/2022;-0,5126310;03/10/2022;-0,4783140;04/07/2022;-0,5015290
04/07/2022;1,007183;04/07/2022;1,0069474;04/07/2022;1,0065265;04/07/2022;1,0061837;04/07/2022;1,0063844;03/10/2022;-0,5624360;03/10/2022;-0,5442320;03/10/2022;-0,5090500;02/01/2023;-0,4689000;03/10/2022;-0,5025320
03/10/2022;1,008598;03/10/2022;1,0083174;03/10/2022;1,0077762;03/10/2022;1,0073039;03/10/2022;1,0076760;02/01/2023;-0,5598710;02/01/2023;-0,5416890;02/01/2023;-0,5038770;03/04/2023;-0,4580460;02/01/2023;-0,5026270
02/01/2023;1,009986;02/01/2023;1,0096596;02/01/2023;1,0089806;02/01/2023;1,0083531;02/01/2023;1,0089581;03/04/2023;-0,5554000;03/04/2023;-0,5373440;03/04/2023;-0,4969410;03/07/2023;-0,4455580;03/04/2023;-0,5007680
03/04/2023;1,011294;03/04/2023;1,0109237;03/04/2023;1,0100961;03/04/2023;1,0093004;03/04/2023;1,0101744;03/07/2023;-0,5488450;03/07/2023;-0,5304820;03/07/2023;-0,4879670;02/10/2023;-0,4316260;03/07/2023;-0,4986460
03/07/2023;1,012548;03/07/2023;1,0121243;03/07/2023;1,0111448;03/07/2023;1,0101692;03/07/2023;1,0113907;02/10/2023;-0,5403670;02/10/2023;-0,5216850;02/10/2023;-0,4772100;02/01/2024;-0,4162340;02/10/2023;-0,4922700
02/10/2023;1,013736;02/10/2023;1,0132565;02/10/2023;1,0121168;02/10/2023;1,0109506;02/10/2023;1,0125025;02/01/2024;-0,5300030;02/01/2024;-0,5110500;02/01/2024;-0,4647660;02/04/2024;-0,4007060;02/01/2024;-0,4832970
02/01/2024;1,014858;02/01/2024;1,0143213;02/01/2024;1,0130129;02/01/2024;1,0116433;02/01/2024;1,0135365;02/04/2024;-0,5189390;02/04/2024;-0,4998040;02/04/2024;-0,4519230;02/07/2024;-0,3839110;02/04/2024;-0,4739090
02/04/2024;1,015847;02/04/2024;1,0152568;02/04/2024;1,0137818;02/04/2024;1,0122072;02/04/2024;1,0144587;02/07/2024;-0,5060200;02/07/2024;-0,4868310;02/07/2024;-0,4375780;02/10/2024;-0,3664320;02/07/2024;-0,4636170
02/07/2024;1,016734;02/07/2024;1,0160924;02/07/2024;1,0144490;02/07/2024;1,0126623;02/07/2024;1,0153174;02/10/2024;-0,4920090;02/10/2024;-0,4728260;02/10/2024;-0,4223170;02/01/2025;-0,3484150;02/10/2024;-0,4527820
02/10/2024;1,017516;02/10/2024;1,0168255;02/10/2024;1,0150109;02/10/2024;1,0130080;02/10/2024;1,0161049;02/01/2025;-0,4771170;02/01/2025;-0,4579510;02/01/2025;-0,4062370;02/04/2025;-0,3299700;02/01/2025;-0,4411790
02/01/2025;1,018193;02/01/2025;1,0174544;02/01/2025;1,0154641;02/01/2025;1,0132447;02/01/2025;1,0168083;02/04/2025;-0,4615030;02/04/2025;-0,4423250;02/04/2025;-0,3894120;02/07/2025;-0,3111720;02/04/2025;-0,4286390
02/04/2025;1,018765;02/04/2025;1,0179769;02/04/2025;1,0158053;02/04/2025;1,0133726;02/04/2025;1,0174147;02/07/2025;-0,4452660;02/07/2025;-0,4260350;02/07/2025;-0,3719150;02/10/2025;-0,2920530;02/07/2025;-0,4150800
02/07/2025;1,019231;02/07/2025;1,0183912;02/07/2025;1,0160319;02/07/2025;1,0133920;02/07/2025;1,0179131;02/10/2025;-0,4284080;02/10/2025;-0,4091230;02/10/2025;-0,3538690;02/01/2026;-0,2724160;02/10/2025;-0,4006020
02/10/2025;1,019586;02/10/2025;1,0186939;02/10/2025;1,0161444;02/10/2025;1,0133014;02/10/2025;1,0183002;02/01/2026;-0,4107160;02/01/2026;-0,3914220;02/01/2026;-0,3351840;02/04/2026;-0,2527000;02/01/2026;-0,3851510
02/01/2026;1,019825;02/01/2026;1,0188830;02/01/2026;1,0161436;02/01/2026;1,0130966;02/01/2026;1,0185771;02/04/2026;-0,3925590;02/04/2026;-0,3733380;02/04/2026;-0,3163550;02/07/2026;-0,2329360;02/04/2026;-0,3691600
02/04/2026;1,019938;02/04/2026;1,0189509;02/04/2026;1,0160307;02/04/2026;1,0127805;02/04/2026;1,0187364;02/07/2026;-0,3739780;02/07/2026;-0,3549280;02/07/2026;-0,2974610;02/10/2026;-0,2125250;02/07/2026;-0,3527300
02/07/2026;1,019926;02/07/2026;1,0188993;02/07/2026;1,0158106;02/07/2026;1,0123559;02/07/2026;1,0187809;02/10/2026;-0,3544870;02/10/2026;-0,3356800;02/10/2026;-0,2779100;04/01/2027;-0,1919670;02/10/2026;-0,3353880
02/10/2026;1,019788;02/10/2026;1,0187265;02/10/2026;1,0154744;02/10/2026;1,0118084;02/10/2026;1,0187101;04/01/2027;-0,3346410;04/01/2027;-0,3161090;04/01/2027;-0,2581500;02/04/2027;-0,1717650;04/01/2027;-0,3175690
04/01/2027;1,019529;04/01/2027;1,0184358;04/01/2027;1,0150259;04/01/2027;1,0111486;04/01/2027;1,0185219;02/04/2027;-0,3150040;02/04/2027;-0,2967430;02/04/2027;-0,2386400;02/07/2027;-0,1512900;02/04/2027;-0,2997330
02/04/2027;1,019163;02/04/2027;1,0180407;02/04/2027;1,0144786;02/04/2027;1,0103967;02/04/2027;1,0182244;02/07/2027;-0,2950160;02/07/2027;-0,2770100;02/07/2027;-0,2187670;04/10/2027;-0,1305840;02/07/2027;-0,2813600
02/07/2027;1,018685;02/07/2027;1,0175328;02/07/2027;1,0138170;02/07/2027;1,0095318;02/07/2027;1,0178109;04/10/2027;-0,2747140;04/10/2027;-0,2569500;04/10/2027;-0,1986090;03/01/2028;-0,1099110;04/10/2027;-0,2625550
04/10/2027;1,018092;04/10/2027;1,0169105;04/10/2027;1,0130421;04/10/2027;1,0085531;04/10/2027;1,0172830;03/01/2028;-0,2543420;03/01/2028;-0,2368140;03/01/2028;-0,1784670;03/04/2028;-0,0895620;03/01/2028;-0,2436350
03/01/2028;1,017390;03/01/2028;1,0161805;03/01/2028;1,0121662;03/01/2028;1,0074727;03/01/2028;1,0166510;03/04/2028;-0,2342370;03/04/2028;-0,2169350;03/04/2028;-0,1586940;03/07/2028;-0,0692650;03/04/2028;-0,2249920
03/04/2028;1,016591;03/04/2028;1,0153543;03/04/2028;1,0112058;03/04/2028;1,0063067;03/04/2028;1,0159298;03/07/2028;-0,2140120;03/07/2028;-0,1969480;03/07/2028;-0,1389850;02/10/2028;-0,0488790;03/07/2028;-0,2062970
03/07/2028;1,015688;03/07/2028;1,0144270;03/07/2028;1,0101566;03/07/2028;1,0050470;03/07/2028;1,0151177;02/10/2028;-0,1936140;02/10/2028;-0,1767950;02/10/2028;-0,1192030;02/01/2029;-0,0282260;02/10/2028;-0,1874090
02/10/2028;1,014676;02/10/2028;1,0133918;02/10/2028;1,0090071;02/10/2028;1,0036823;02/10/2028;1,0142021;02/01/2029;-0,1728950;02/01/2029;-0,1563290;02/01/2029;-0,0991290;02/04/2029;-0,0090830;02/01/2029;-0,1680680
02/01/2029;1,013546;02/01/2029;1,0122389;02/01/2029;1,0077413;02/01/2029;1,0021974;02/01/2029;1,0131647;02/04/2029;-0,1536680;02/04/2029;-0,1373390;02/04/2029;-0,0804580;02/07/2029;0,0105000;02/04/2029;-0,1498790
02/04/2029;1,012404;02/04/2029;1,0110782;02/04/2029;1,0064733;02/04/2029;1,0007284;02/04/2029;1,0120965;02/07/2029;-0,1339850;02/07/2029;-0,1179000;02/07/2029;-0,0612710;02/10/2029;0,0305120;02/07/2029;-0,1309740
02/07/2029;1,011144;02/07/2029;1,0097988;02/07/2029;1,0050789;02/07/2029;0,9991325;02/07/2029;1,0108920;02/10/2029;-0,1137920;02/10/2029;-0,0979590;02/10/2029;-0,0415870;02/01/2030;0,0496960;02/10/2029;-0,1114460
02/10/2029;1,009752;02/10/2029;1,0083884;02/10/2029;1,0035516;02/10/2029;0,9974031;02/10/2029;1,0095494;02/01/2030;-0,0942940;02/01/2030;-0,0787030;02/01/2030;-0,0226740;02/04/2030;0,0687070;02/01/2030;-0,0926550
02/01/2030;1,008310;02/01/2030;1,0069309;02/01/2030;1,0019913;02/01/2030;0,9956510;02/01/2030;1,0081651;02/04/2030;-0,0747680;02/04/2030;-0,0594200;02/04/2030;-0,0039090;02/07/2030;0,0875530;02/04/2030;-0,0740760
02/04/2030;1,006771;02/04/2030;1,0053769;02/04/2030;1,0003527;02/04/2030;0,9938226;02/04/2030;1,0067079;02/07/2030;-0,0551960;02/07/2030;-0,0400920;02/07/2030;0,0146900;02/10/2030;0,1062060;02/07/2030;-0,0557840
02/07/2030;1,005132;02/07/2030;1,0037247;02/07/2030;0,9986391;02/07/2030;0,9919192;02/07/2030;1,0051867;02/10/2030;-0,0357500;02/10/2030;-0,0208910;02/10/2030;0,0330700;02/01/2031;0,1246360;02/10/2030;-0,0377870
02/10/2030;1,003410;02/10/2030;1,0019912;02/10/2030;0,9968570;02/10/2030;0,9899449;02/10/2030;1,0036047;02/01/2031;-0,0166300;02/01/2031;-0,0020200;02/01/2031;0,0511740;02/04/2031;0,1428150;02/01/2031;-0,0200790
02/01/2031;1,001626;02/01/2031;1,0001974;02/01/2031;0,9950142;02/01/2031;0,9879045;02/01/2031;1,0019638;02/04/2031;0,0019800;02/04/2031;0,0163380;02/04/2031;0,0689490;02/04/2032;0,2127490;02/04/2031;-0,0026550
02/04/2031;0,999802;02/04/2031;0,9983645;02/04/2031;0,9931181;02/04/2031;0,9858031;02/04/2031;1,0002661;02/04/2032;0,0715010;02/04/2032;0,0848600;02/04/2032;0,1365700;04/04/2033;0,2768750;04/04/2033;0,1249610
02/04/2032;0,992157;02/04/2032;0,9906989;02/04/2032;0,9850776;02/04/2032;0,9768595;04/04/2033;0,9851056;04/04/2033;0,1367860;04/04/2033;0,1491330;04/04/2033;0,1983920;03/04/2034;0,3346550;02/04/2036;0,2825710
04/04/2033;0,983709;04/04/2033;0,9822522;04/04/2033;0,9764653;04/04/2033;0,9673213;02/04/2036;0,9585055;03/04/2034;0,1968680;03/04/2034;0,2080880;03/04/2034;0,2548660;02/04/2035;0,3857340;02/04/2041;0,4172920
03/04/2034;0,974725;03/04/2034;0,9733053;03/04/2034;0,9674106;03/04/2034;0,9574445;02/04/2041;0,9200051;02/04/2035;0,2506820;02/04/2035;0,2616620;02/04/2035;0,3054080;02/04/2036;0,4300900;02/04/2046;0,4541080
02/04/2035;0,965516;02/04/2035;0,9640348;02/04/2035;0,9581584;02/04/2035;0,9474679;02/04/2046;0,8928431;02/04/2036;0,2979370;02/04/2036;0,3071750;02/04/2036;0,3478470;02/04/2041;0,5582940;03/04/2051;0,4478890
02/04/2036;0,956302;02/04/2036;0,9549804;02/04/2036;0,9491835;02/04/2036;0,9375761;03/04/2051;0,8744676;02/04/2041;0,4399530;02/04/2041;0,4448920;02/04/2041;0,4745610;02/04/2046;0,5868280;04/04/2061;0,4182240
02/04/2041;0,915858;02/04/2041;0,9149568;02/04/2041;0,9095625;02/04/2041;0,8945180;04/04/2061;0,8461918;02/04/2046;0,4794780;02/04/2046;0,4811590;02/04/2046;0,5044000;03/04/2051;0,5735410;02/04/2071;0,3830350
02/04/2046;0,887221;02/04/2046;0,8868493;02/04/2046;0,8817332;02/04/2046;0,8638342;02/04/2071;0,8259555;03/04/2051;0,4741990;03/04/2051;0,4748390;03/04/2051;0,4905130;;;;
03/04/2051;0,867620;03/04/2051;0,8674543;03/04/2051;0,8634022;03/04/2051;0,8422615;;;;;04/04/2061;0,4408890;04/04/2061;0,4470310;;;;
;;04/04/2061;0,8385843;04/04/2061;0,8365348;;;;;;;02/04/2071;0,4000200;;;;;;
;;02/04/2071;0,8189954;02/04/2071;0,8187883;;;;;;;;;;;;;;
